0,17
0,20
0,22
1,14
2,10
2,20
2,28
2,33
2,38
3,8
3,15
3,23
3,33
3,35
4,5
4,6
4,32
4,48
5,31
6,4
6,49
7,2
7,12
7,16
8,24
8,34
8,47
9,9
9,14
10,8
10,13
10,39
10,47
11,4
11,20
11,27
11,43
12,40
12,44
13,11
13,40
15,20
15,41
15,42
16,2
16,8
17,4
17,8
17,31
18,5
18,18
19,1
19,3
19,11
19,15
21,36
22,13
22,42
23,25
24,23
24,30
24,42
24,49
25,25
26,16
26,31
27,20
27,32
27,38
28,0
28,5
28,11
30,4
30,8
30,26
30,46
31,1
31,13
31,18
31,25
31,34
32,9
32,44
33,6
33,8
33,17
33,33
33,47
33,48
34,1
34,4
34,5
34,22
34,34
34,36
35,0
35,2
35,10
35,16
35,30
37,32
37,45
38,6
38,22
39,1
39,2
39,24
40,0
40,21
41,39
42,9
42,16
43,29
43,30
43,35
44,2
45,40
45,43
45,48
46,0
46,1
46,3
46,4
46,6
46,13
47,1
48,12
48,17
48,42
49,39
50,6
50,47
51,25
52,0
52,4
52,8
53,15
53,35
53,42
54,10
54,17
54,20
54,37
55,17
55,23
56,1
56,45
57,36
57,45
58,15
59,46
59,48
60,10
60,21
60,28
60,41
60,46
60,47
61,9
62,29
63,1
63,16
63,34
63,39
64,11
64,20
67,28
68,9
68,21
69,16
69,29
69,48
70,22
70,32
70,39
71,3
71,8
71,15
72,11
72,12
73,20
73,22
74,42
75,11
75,25
76,9
76,47
77,14
78,25
78,34
78,42
78,49
79,2
79,15
80,7
80,47
81,2
82,14
82,17
82,19
82,32
83,30
83,40
84,23
85,8
85,10
86,10
86,14
86,18
86,20
86,28
86,32
87,16
87,22
87,40
87,42
88,7
88,23
88,30
89,11
90,37
90,42
90,47
91,37
92,2
92,9
92,35
92,38
93,17
93,43
94,2
94,3
94,18
94,47
94,48
96,5
96,20
96,28
96,38
96,48
97,2
97,6
97,38
98,4
98,24
99,36
100,49
101,13
101,38
102,0
102,1
102,15
102,24
102,35
103,11
103,41
104,42
104,46
104,47
105,16
105,20
105,22
106,10
106,39
107,18
107,28
108,13
108,30
110,2
110,37
112,6
112,7
112,19
112,36
113,12
114,22
114,39
115,12
115,14
115,28
116,2
116,13
116,26
116,43
117,27
118,17
118,35
119,3
119,23
119,49
120,45
121,44
124,18
124,25
124,41
124,47
125,32
125,48
127,7
127,15
127,19
128,37
129,11
129,47
130,36
131,21
131,22
131,32
131,36
131,43
131,47
132,1
132,34
132,40
132,42
132,43
133,1
133,14
135,18
135,24
135,25
135,28
136,4
136,15
136,21
138,26
138,33
138,35
139,21
139,39
139,43
139,47
140,5
140,28
140,31
141,4
141,11
141,12
141,16
141,44
143,49
144,5
144,19
144,40
145,8
145,37
145,49
146,3
146,14
146,22
147,14
147,17
147,37
147,40
148,7
148,8
148,14
148,18
148,34
149,28
150,10
150,44
151,0
151,3
151,8
151,46
152,14
152,18
152,44
153,35
154,13
154,20
154,41
155,38
155,39
156,5
156,14
156,23
156,37
156,44
157,0
157,6
157,10
157,15
157,44
157,45
158,43
158,46
159,6
159,16
159,17
159,19
159,47
160,21
160,27
160,41
160,48
161,2
161,4
161,6
161,9
161,16
161,23
161,36
161,40
162,14
162,27
162,43
162,46
162,49
163,3
163,27
164,4
164,6
164,37
165,1
165,40
166,17
166,25
166,29
166,42
166,49
167,6
168,9
168,11
168,15
168,42
169,6
169,9
169,16
169,28
169,31
169,43
169,46
170,26
171,24
171,48
172,1
172,16
173,3
173,36
173,41
174,18
174,31
174,48
175,4
175,25
175,29
176,0
177,9
177,16
177,31
177,44
178,5
178,11
178,17
178,25
178,40
178,46
179,16
179,21
180,2
180,28
180,39
181,5
181,22
181,41
181,43
182,7
182,12
182,27
182,28
182,30
182,38
183,1
183,8
183,18
184,7
184,41
185,3
185,4
185,8
185,15
185,17
185,38
185,39
