0,168,51.9151116284
0,183,71.7681100147
3,275,115.936459341
4,239,96.6396621109
7,335,90.1753115833
9,390,66.6104370439
9,463,62.0993309883
10,116,103.604325197
10,278,79.7527772052
10,290,90.3439242682
10,412,115.465586551
11,149,117.75427625
11,198,68.5029722781
11,462,98.7209564687
12,496,81.4608376415
16,138,57.1684264276
16,212,62.4590038791
18,20,42.6780637945
19,134,114.734865508
23,113,30.8496073514
23,237,22.8654770584
24,142,97.1218299061
24,391,126.346562776
24,424,112.805057081
25,47,24.6348531298
25,139,28.4536372935
25,337,13.7374440385
27,91,70.4594705836
27,359,61.8786088974
28,70,68.3317859578
28,125,108.10177921
28,202,86.2265181073
28,222,89.7718047267
28,234,88.8277119775
30,8,105.324419202
30,389,96.6115031754
31,70,117.824988347
31,414,118.476432155
33,253,122.695439894
33,343,158.747408691
37,205,55.3716209434
37,226,39.6910765469
42,202,43.6114589509
43,46,79.8685653571
43,303,93.5917252835
45,307,73.3826117227
45,474,84.4718787389
46,306,166.809375353
50,213,47.7730413005
50,402,56.820565404
51,356,24.4902333354
52,122,89.3371790596
55,122,43.3163937591
56,197,43.8224628032
56,342,52.0978476924
57,285,64.2394033291
57,350,44.1052206583
58,194,10.9496520665
58,312,19.6240765484
58,388,19.6621430873
60,148,177.822515081
60,179,186.627874116
60,374,153.250806425
61,437,23.4371925848
63,40,105.815601607
63,281,102.124628827
64,237,33.4113783448
64,455,32.543567045
64,473,43.3754043948
67,197,18.2869926532
67,222,15.6209315063
68,236,61.3527530334
71,12,77.1356036134
72,422,53.4066743878
74,197,33.1215958979
74,250,30.8743385094
77,305,29.591338335
81,94,27.6810845315
81,215,21.2732535823
83,103,53.4627113237
83,384,51.4480916597
86,139,132.611765635
87,5,88.6477583825
87,52,95.8849501369
87,250,85.1030665405
87,356,95.0123212969
89,236,27.3160131586
89,268,32.225493544
89,476,29.4174510051
91,332,22.041527156
92,114,92.1213459473
93,75,50.8574860713
96,469,98.5736960048
97,499,97.1459897269
100,86,37.1961978085
100,497,34.5490736366
103,398,68.2546229528
105,217,81.656650521
107,364,49.7860383676
110,361,58.2106772407
110,446,49.7134320607
113,61,13.5205101274
113,85,13.6787748744
113,250,13.2669041625
115,262,66.9305841444
116,435,132.824466663
117,268,24.5364829055
119,196,75.2306858646
120,485,23.3754038317
125,154,48.85868045
125,319,46.4936527406
127,247,67.0524760615
129,130,45.1619143911
132,32,105.653798891
132,98,118.398305763
132,137,99.9946911651
133,18,77.6480475092
133,284,51.8758133112
138,102,63.9346257801
138,136,94.2367762353
140,76,64.9085702194
140,102,64.691355568
146,1,68.91921505
146,183,71.4117306908
146,191,80.4048815331
146,414,67.6646148841
147,14,90.6980710408
147,29,106.965853476
147,186,123.953974872
149,327,37.3466061364
149,365,34.0416852123
151,400,89.5678512091
152,26,102.8637423
155,485,46.3247375404
157,132,171.3980921
159,428,124.418871698
160,392,110.983457302
162,145,160.575961614
166,419,146.599375907
169,237,183.495283947
171,437,51.5114837452
172,68,69.7257463857
174,188,78.6116416394
175,246,64.7655639626
177,147,98.5759421945
178,16,159.969532253
180,277,63.9235997315
181,299,101.530895516
181,469,108.983840576
185,240,168.32097876
186,399,55.8528849868
187,150,66.0352591721
188,114,74.6347375915
188,380,61.674689594
192,171,82.3758905327
193,130,47.510335478
194,330,35.8517011976
195,156,98.0129667732
195,376,110.804422559
197,143,42.1697701328
197,248,46.4239386701
198,33,98.3578800905
201,400,28.3687511339
204,34,65.2999386668
205,113,25.8601186329
205,435,28.4823919147
206,183,24.5263969314
209,379,145.14542874
210,84,91.8427746775
210,402,89.881352664
213,154,68.0676699396
213,288,52.3558124845
213,445,51.1893351676
215,84,128.736753483
215,266,136.168694508
218,286,61.5701180218
220,70,22.8454045278
221,65,83.9997570636
221,282,64.6352430402
222,264,13.0367515833
226,34,59.9609458115
226,93,76.0566221216
226,379,65.0205792059
227,4,39.5505508301
227,275,58.2036934294
227,394,48.9014014162
228,352,108.907348598
233,21,20.6836310697
234,290,52.1021429324
235,60,53.8428352429
235,87,72.8765906815
235,221,52.3318133937
238,45,44.7889090266
238,289,44.691550935
238,374,75.448450875
238,384,59.0704726929
238,430,55.4286803063
238,435,56.1296682583
241,248,51.3352184874
241,440,44.1239365777
242,35,24.3995363435
242,309,28.1047063517
243,146,49.5852734653
243,165,75.6173389477
245,342,92.1483689294
246,300,59.3864882886
246,317,52.5986112822
248,152,42.946885368
248,499,48.973556511
249,461,43.1313961893
254,495,70.6400004045
255,7,46.8473512092
256,196,99.4169770383
257,144,121.452261352
258,381,34.8288603071
260,486,54.6767804678
263,443,112.633965987
